Handle,Title,Body (HTML),Link,Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Option4 Name,Option4 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
JA-Morant-[Silver-Prizm]-#12-[Rookie]-2019-Panini-Prizm-Instant-Impact,JA Morant [Silver Prizm] #12 [Rookie] 2019 Panini Prizm Instant Impact,,https://www.sportscardspro.com/game/basketball-cards-2019-panini-prizm-instant-impact/ja-morant-silver-prizm-12,Panini,,,"NBA, ShowcaseA",TRUE,Grading Service,PSA,Grade,9,Type,NBA,Showcase,A,,0,shopify,1,deny,manual,$57.04,,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/c127b11d9a0bffd7b9383edf5be0049b52edddc374fdb68d383a5fde137e3890/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
JA-Morant-[Silver-Prizm]-#12-[Rookie]-2019-Panini-Prizm-Instant-Impact,JA Morant [Silver Prizm] #12 [Rookie] 2019 Panini Prizm Instant Impact,,https://www.sportscardspro.com/game/basketball-cards-2019-panini-prizm-instant-impact/ja-morant-silver-prizm-12,Panini,,,"NBA, ShowcaseB",TRUE,Grading Service,SGC,Grade,10,Type,NBA,Showcase,B,,0,shopify,1,deny,manual,$124.99,,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/c127b11d9a0bffd7b9383edf5be0049b52edddc374fdb68d383a5fde137e3890/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
Michael-Porter-Jr.-#182-2018-Panini-Donruss-Optic,Michael Porter Jr. #182 2018 Panini Donruss Optic,,https://www.sportscardspro.com/game/basketball-cards-2018-panini-donruss-optic/michael-porter-jr-182,Panini,,,"NBA, ShowcaseA",TRUE,Grading Service,PSA,Grade,10,Type,NBA,Showcase,A,,0,shopify,1,deny,manual,$28.22,,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/220cb27e4940a4e329860afc3b6b98509f65c2a5adbf4e2d9479b029d3f391b1/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
Joe-Burrow-[Genesis]-#201-[Rookie]-2020-Panini-Mosaic,Joe Burrow [Genesis] #201 [Rookie] 2020 Panini Mosaic,,https://www.sportscardspro.com/game/football-cards-2020-panini-mosaic/joe-burrow-genesis-201,Panini,,,"NFL, ShowcaseC",TRUE,Grading Service,PSA,Grade,10,Type,NFL,Showcase,C,,0,shopify,1,deny,manual,"$6,520.00",,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/abf16c64372b0066cb014a631995977407ee332e4d65dc87a4e737a241110e8b/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
Justin-Fields-#80-2021-Panini-Chronicles-Draft-Picks,Justin Fields #80 2021 Panini Chronicles Draft Picks,,https://www.sportscardspro.com/game/football-cards-2021-panini-chronicles-draft-picks/justin-fields-80,Panini,,,"NFL, ShowcaseA",TRUE,Grading Service,N/A,Grade,0,Type,NFL,Showcase,A,,0,shopify,1,deny,manual,$3.12,,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/037f16e311f068793aa837ea6d2587158c50707409c2ac4e5d175f8d9338ccfd/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
Louis-King-[Green-Ice-Prizm]-#102-2019-Panini-Prizm-Draft-Picks-Autographs,Louis King [Green Ice Prizm] #102 2019 Panini Prizm Draft Picks Autographs,,https://www.sportscardspro.com/game/basketball-cards-2019-panini-prizm-draft-picks-autographs/louis-king-green-ice-prizm-102,Panini,,,"NBA, ShowcaseB",TRUE,Grading Service,N/A,Grade,0,Type,NBA,Showcase,B,,0,shopify,1,deny,manual,$40.00,,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/3c677cb76291cd61bec900ad61e7f1c886e01b8aa9ffa5336d972190604cf937/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
Mike-Trout-[SSP]-#27-2021-Topps,Mike Trout [SSP] #27 2021 Topps,,https://www.sportscardspro.com/game/baseball-cards-2021-topps/mike-trout-ssp-27,Topps,,,"MLB, ShowcaseC",TRUE,Grading Service,PSA,Grade,10,Type,MLB,Showcase,C,,0,shopify,1,deny,manual,"$4,798.40",,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/7401bea59c5aca11b13dcdf93f87f0ed6c5f675ee515971498c1c65c7044e678/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
Michael-Jordan-#57-[Rookie]-1986-Fleer,Michael Jordan #57 [Rookie] 1986 Fleer,,https://www.sportscardspro.com/game/basketball-cards-1986-fleer/michael-jordan-57,Other,,,"NBA, ShowcaseA",TRUE,Grading Service,PSA,Grade,9.5,Type,NBA,Showcase,A,,0,shopify,1,deny,manual,"$87,670.54",,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/31676fa75018c1dd008852de6b68e08d6f82abb9b4560793663cfba4a68aef8d/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
Joe-Montana-#1-1990-Action-Packed-All-Madden,Joe Montana #1 1990 Action Packed All Madden,,https://www.sportscardspro.com/game/football-cards-1990-action-packed-all-madden/joe-montana-1,Other,,,"NFL, ShowcaseA",TRUE,Grading Service,PSA,Grade,9,Type,NFL,Showcase,A,,0,shopify,1,deny,manual,$72.00,,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/0010839ec7f7799bc6da66588fe7c6699eaba7cf9a7b4d4020861cf2f773f63d/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
Michael-Jordan-#SP1-[Rookie]-1991-Upper-Deck,Michael Jordan #SP1 [Rookie] 1991 Upper Deck,,https://www.sportscardspro.com/game/baseball-cards-1991-upper-deck/michael-jordan-sp1,Upper Deck,,,"MLB, ShowcaseB",TRUE,Grading Service,PSA,Grade,8,Type,MLB,Showcase,B,,0,shopify,1,deny,manual,$48.82,,TRUE,TRUE,,https://commondatastorage.googleapis.com/images.pricecharting.com/9f4b1a7e9aa7768d38003310c1dedb52bf9eab23ef21a7a3cb8b9d7c196af0e4/240.jpg,1,,FALSE,,,,Unisex,Adult,,Sports Cards,"sports cards, collectible",Graded,FALSE,,,,,,,g,,,active
